Date,Strategy,Old_Weight,New_Weight,Rebalance_Size,Transaction_Cost
2010-03-02,Vol Targeting,0.7248294755287369,0.8230958944707153,0.0982664189419784,0.00014739962841296762
2010-03-03,Vol Targeting,0.8230958944707153,0.7766243993219138,0.046471495148801445,6.970724272320216e-05
2010-03-04,Vol Targeting,0.7766243993219138,0.7574278140239648,0.019196585297949098,2.879487794692365e-05
2010-03-05,Vol Targeting,0.7574278140239648,0.7563185903107671,0.0011092237131976601,1.6638355697964903e-06
2010-03-08,Vol Targeting,0.7563185903107671,0.7910491733233566,0.03473058301258947,5.2095874518884204e-05
2010-03-09,Vol Targeting,0.7910491733233566,0.841674286573014,0.05062511324965746,7.593766987448619e-05
2010-03-10,Vol Targeting,0.841674286573014,0.9061713255598848,0.06449703898687076,9.674555848030615e-05
2010-03-11,Vol Targeting,0.9061713255598848,1.0,0.09382867444011522,0.00014074301166017283
2010-04-15,Ema Crossover,0.0,1.0,1.0,0.0015
2010-05-11,Vol Targeting,1.0,0.8215435263757315,0.17845647362426853,0.0002676847104364028
2010-05-12,Vol Targeting,0.8215435263757315,0.830749151050645,0.009205624674913482,1.3808437012370223e-05
2010-05-13,Vol Targeting,0.830749151050645,0.8262833612658278,0.0044657897848171535,6.69868467722573e-06
2010-05-14,Vol Targeting,0.8262833612658278,0.8215930243541185,0.004690336911709281,7.035505367563921e-06
2010-05-17,Vol Targeting,0.8215930243541185,0.7970346352348654,0.02455838911925312,3.683758367887968e-05
2010-05-18,Vol Targeting,0.7970346352348654,0.7936704968127108,0.00336413842215455,5.046207633231825e-06
2010-05-19,Ema Crossover,1.0,0.0,1.0,0.0015
2010-05-19,Vol Targeting,0.7936704968127108,0.8060570107939714,0.01238651398126056,1.857977097189084e-05
2010-05-20,Vol Targeting,0.8060570107939714,0.7223773784568772,0.08367963233709419,0.00012551944850564128
2010-05-21,Vol Targeting,0.7223773784568772,0.7181906294944596,0.0041867489624176635,6.280123443626495e-06
2010-05-24,Vol Targeting,0.7181906294944596,0.7241476108938454,0.00595698139938583,8.935472099078746e-06
2010-05-25,Vol Targeting,0.7241476108938454,0.7308412026658372,0.0066935917719918026,1.0040387657987705e-05
2010-05-26,Vol Targeting,0.7308412026658372,0.6809305853408796,0.04991061732495761,7.486592598743641e-05
2010-05-27,Vol Targeting,0.6809305853408796,0.6239628465953512,0.05696773874552841,8.545160811829261e-05
2010-05-28,Vol Targeting,0.6239628465953512,0.6116980973544051,0.012264749240946116,1.8397123861419175e-05
2010-05-31,Vol Targeting,0.6116980973544051,0.6038983409854575,0.007799756368947586,1.1699634553421379e-05
2010-06-01,Vol Targeting,0.6038983409854575,0.6043612746932235,0.0004629337077660667,6.944005616491001e-07
2010-06-02,Vol Targeting,0.6043612746932235,0.5830716533595331,0.02128962133369039,3.193443200053559e-05
2010-06-03,Vol Targeting,0.5830716533595331,0.584304679259152,0.0012330258996188226,1.8495388494282338e-06
2010-06-04,Vol Targeting,0.584304679259152,0.5667223372278095,0.017582342031342457,2.6373513047013686e-05
2010-06-07,Vol Targeting,0.5667223372278095,0.5680783610202775,0.0013560237924680196,2.0340356887020296e-06
2010-06-08,Vol Targeting,0.5680783610202775,0.558535510600625,0.009542850419652527,1.431427562947879e-05
2010-06-09,Vol Targeting,0.558535510600625,0.6286082624217929,0.0700727518211679,0.00010510912773175185
2010-06-10,Vol Targeting,0.6286082624217929,0.6338440710425151,0.005235808620722149,7.853712931083224e-06
2010-06-11,Vol Targeting,0.6338440710425151,0.6167315741143705,0.01711249692814454,2.5668745392216807e-05
2010-06-14,Vol Targeting,0.6167315741143705,0.6134953512692551,0.0032362228451153774,4.854334267673066e-06
2010-06-15,Vol Targeting,0.6134953512692551,0.6172822713412397,0.0037869200719845564,5.680380107976835e-06
2010-06-16,Vol Targeting,0.6172822713412397,0.6207070479943518,0.003424776653112138,5.137164979668207e-06
2010-06-17,Vol Targeting,0.6207070479943518,0.620702637001232,4.410993119874362e-06,6.616489679811544e-09
2010-06-18,Vol Targeting,0.620702637001232,0.6971520185298905,0.07644938152865854,0.00011467407229298782
